type,,f,f,f,r,r,r,r,f
source,,f1 (t-1),f2 (t-1),f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,,,
trn,1995-03-21,0.1845741773258992,0.1652987052320739,0.1608482065384256,0.1,0.1,0.1,0.1,0.17639140785677962
trn,1994-12-13,0.5020553186837214,0.32429519699149445,0.3662492824818786,0.1113676731793961,0.1,0.2219047619047619,0.1642857142857143,0.3743545316669892
trn,1996-07-29,0.1034109544112824,0.1043815148532344,0.10194897945562068,0.11420959147424513,0.13478260869565217,0.15333333333333335,0.1,0.10531765997758807
trn,1993-01-22,0.2772821690171641,0.27854168244112976,0.33103416053717083,0.19662522202486682,0.11932367149758455,0.2625396825396826,0.3392857142857143,0.4099976147936797
trn,1993-08-30,0.11080135563572757,0.11362913606420838,0.10711510993045081,0.1,0.1,0.1253968253968254,0.11666666666666667,0.11293591895698979
trn,1994-03-23,0.1758281403738931,0.1478534110698872,0.1843694517494093,0.10568383658969806,0.1,0.1634920634920635,0.2,0.2913673532760584
trn,1993-11-29,0.15614955723187932,0.13105423891370738,0.11903592262818545,0.1,0.1,0.1,0.1,0.15365544119566343
trn,1993-11-08,0.12413906198753691,0.1218570959844527,0.11228124040528094,0.10284191829484902,0.1,0.10507936507936509,0.1,0.1230167909524174
trn,1995-04-27,0.13559637039466493,0.12080714772469145,0.1162432753534194,0.1,0.1,0.1,0.1,0.1282372425214781
trn,1993-03-31,0.11932874166393354,0.11349789253173823,0.11164314987118047,0.14262877442273536,0.14830917874396135,0.10507936507936509,0.17380952380952383,0.1209286103247931
trn,1996-12-17,0.14652891658467257,0.13092299538123722,0.12782768885744417,0.1227353463587922,0.11159420289855074,0.15587301587301589,0.10952380952380952,0.14395260190006437
trn,1996-07-03,0.10966437083196677,0.10966154312107217,0.10440789737154757,0.11420959147424513,0.11159420289855074,0.1,0.1,0.11088914191077529
trn,1993-12-09,0.2589154914179512,0.31051462608212815,0.32812137069322267,0.2364120781527531,0.28164251207729474,0.4733333333333334,0.3595238095238096,0.5235874403135872
trn,1996-06-21,0.10800262381108561,0.10808662073143031,0.10446663373870327,0.1,0.1,0.1,0.1,0.10650576274847776
trn,1995-05-27,0.12951787471302068,0.11507281492138008,0.1107220568407844,0.10284191829484902,0.1,0.14317460317460318,0.10476190476190476,0.12006453558232788
trn,1993-04-26,0.27903137640756537,0.3436990484843896,0.2565430978094005,0.1483126110124334,0.38985507246376816,0.3641269841269842,0.20714285714285713,0.3361912305414419
trn,1993-06-04,0.1544003498414781,0.14920622901996416,0.1516773237575256,0.1,0.10772946859903382,0.1,0.1,0.15660769656575296
trn,1993-12-08,0.2637258117415546,0.15528381413896672,0.222945895796345,0.1113676731793961,0.1,0.1812698412698413,0.1380952380952381,0.26857738194353814
trn,1995-01-14,0.18676068656390074,0.1941117084374448,0.15771916006994968,0.1,0.1,0.19904761904761906,0.1261904761904762,0.20015346327457326
trn,1995-09-06,0.10288619219416202,0.10139320057545241,0.10121477486617453,0.10284191829484902,0.1,0.1,0.10714285714285715,0.10280644275729851
trn,1994-02-02,0.2768448671695638,0.2528179500769794,0.28169027245664857,0.18241563055062165,0.1463768115942029,0.25492063492063494,0.2785714285714286,0.34465196239474716
trn,1995-04-23,0.12724390510549907,0.1306605083162969,0.11661705223531926,0.27619893428063946,0.18888888888888888,0.18634920634920638,0.14761904761904762,0.15176527769652076
trn,1993-11-19,0.15090193506067562,0.13912066833244996,0.12115577151553178,0.1,0.1,0.1,0.1,0.14924505969766386
trn,1994-09-30,0.12291461681425604,0.11357865778248909,0.11794396016606373,0.1,0.1,0.1126984126984127,0.10238095238095239,0.12107262278187064
trn,1996-01-03,0.13559637039466493,0.12442139269579264,0.11920412222504038,0.12841918294849025,0.1,0.1,0.10238095238095239,0.1346637984185632
trn,1995-05-31,0.1247075543894173,0.11425506675752758,0.11892111972874478,0.1,0.1,0.1,0.10952380952380952,0.12406088126622954
trn,1993-12-02,0.21431070296272003,0.1632089043688953,0.16153702393506963,0.10568383658969806,0.11932367149758455,0.16603174603174603,0.17857142857142858,0.27201567935626436
trn,1995-12-12,0.1548376516890784,0.12070619116125288,0.1381332514583973,0.10284191829484902,0.1,0.1,0.1,0.13939820794498725
trn,1993-08-05,0.13367224226522356,0.12023169531309154,0.14253847899507416,0.11705150976909415,0.20821256038647343,0.17873015873015874,0.14047619047619048,0.28776704184911994
trn,1995-08-17,0.10153055646660107,0.10035334797203503,0.10054197647875479,0.1,0.1,0.10253968253968254,0.1,0.10029522553700895
trn,1994-05-12,0.12558215808461792,0.11757653769465688,0.11568261003056962,0.1,0.1,0.1,0.1,0.12373685323780508
trn,1994-07-18,0.1044167486607631,0.10617854168244113,0.10319846217511447,0.1,0.1,0.1,0.1,0.10617453409719942
trn,1996-10-31,0.14652891658467257,0.1254208626738346,0.13969777469263528,0.1,0.1,0.10507936507936509,0.1,0.13777806780286495
trn,1994-06-29,0.11644254946977152,0.10927790818000556,0.11743936137549893,0.1,0.1,0.1,0.1,0.11597818211275276
trn,1995-11-22,0.12641303159505848,0.1068852376265112,0.11393386819025245,0.15399644760213144,0.1463768115942029,0.1,0.1619047619047619,0.1305594433918534
trn,1996-11-08,0.2908385262927736,0.2741096893061761,0.21218913110224136,0.1,0.1,0.10253968253968254,0.1,0.20108954424557726
trn,1993-03-23,0.13345359134142343,0.11479013654375206,0.12318217618240312,0.10568383658969806,0.1,0.10507936507936509,0.11666666666666667,0.12683312106497213
trn,1993-05-24,0.1767027440690937,0.15677797127785773,0.1475017020197301,0.1,0.1,0.1,0.1,0.16722861527522132
trn,1995-07-17,0.10721548048540505,0.10366472325282047,0.10340937912990082,0.1,0.1,0.1,0.10238095238095239,0.10538786605041336
trn,1995-04-19,0.1294304143435006,0.12804573332323768,0.11558649597522394,0.13978685612788633,0.16183574879227056,0.1253968253968254,0.12142857142857144,0.12883129390692297
trn,1996-09-03,0.111413578222368,0.10908609070947226,0.10686147561773306,0.1341030195381883,0.16183574879227056,0.11777777777777779,0.1,0.11135178192913688
trn,1996-12-28,0.13865748332786706,0.14764140228666617,0.12564109409833002,0.10568383658969806,0.16956521739130437,0.12793650793650796,0.10952380952380952,0.14496068909960713
trn,1995-12-23,0.18894719580190228,0.20019938921279118,0.17107367409325736,0.23925399644760215,0.521256038647343,0.33746031746031746,0.22142857142857142,0.2719436731277255
trn,1993-11-22,0.13690827593746585,0.1335074834052649,0.115436985222464,0.1,0.1386473429951691,0.10253968253968254,0.1,0.13745403977444048
trn,1993-05-10,0.12234612441237565,0.11956538199439691,0.11179266062394042,0.1,0.1,0.1,0.1,0.1319455632912247
trn,1993-02-26,0.12807477861593966,0.12164508720123168,0.11368023387753468,0.10568383658969806,0.10386473429951691,0.1380952380952381,0.2523809523809524,0.12937134062096373
trn,1993-12-14,0.37436317918443207,0.5407662603164988,0.2620269386338455,0.18809946714031972,0.19661835748792272,0.18,0.22142857142857142,0.42547895392951496
trn,1995-01-05,0.18151306439269707,0.23248529820044925,0.15410153382013325,0.11420959147424513,0.10386473429951691,0.19142857142857145,0.11904761904761905,0.2897472131339361
trn,1993-04-09,0.15265114245107686,0.12573382802049418,0.1390997316815955,0.16252220248667854,0.13478260869565217,0.2625396825396826,0.1,0.26027866410444506
trn,1993-01-09,0.18719798841150104,0.16323919133792686,0.17377554698241915,0.10568383658969806,0.1,0.10507936507936509,0.10714285714285715,0.23394238601639042
trn,1996-10-20,0.13091724062534166,0.11839428585850938,0.14190572813071511,0.10568383658969806,0.13091787439613528,0.11015873015873016,0.11190476190476191,0.13327767851919192
