type,,f,f,f,r,r,r,r,f
source,,f1 (t-1),f2 (t-1),f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,,,
trn,1994-12-23,0.4914216769878279,0.5265793652044217,0.5053126780145408,0.1,0.1,0.1567818752790141,0.1,0.5476268751744638
trn,1994-03-28,0.4862927738646423,0.5140997960328553,0.5464367770507599,0.38446360088750386,0.18122769321068954,0.44539066334725363,0.5743097057511021,0.6125095601733753
trn,1996-09-23,0.14422361777663947,0.18060524206569628,0.15245015080621857,0.1,0.1,0.1,0.1,0.18178065853073272
trn,1993-11-05,0.34607295569728413,0.3230275927776573,0.3138207233166587,0.1,0.1,0.21356375055802818,0.20787197799411877,0.3820379446384914
trn,1994-05-09,0.3829143163823032,0.32841176434423697,0.3942609731708955,0.1,0.1,0.1,0.1,0.41005992877866826
trn,1994-09-15,0.49640926988660394,0.3002206895927813,0.5461667149397966,0.6146140167221416,0.5141815927254341,0.3047299628354865,0.2392621247645583,0.6258551499605088
trn,1996-03-10,0.4390027974560511,0.35579609982294347,0.394947937878082,0.1,0.34368307963206857,0.2795600556972935,0.28683974659876554,0.45516383539246186
trn,1993-10-07,0.7418874727641941,0.7185251373602831,0.6902157027313592,0.44307601114809436,0.49376585224185265,0.3271275011160564,0.3412090756622109,0.8019425610298982
trn,1994-09-04,0.28072557388767105,0.21720789835790139,0.33143240336944635,0.3100902925755561,0.2406904916225318,0.41614810163315363,0.33303010600141414,0.3095160651029329
trn,1995-04-19,0.36266986359506737,0.35245539261959735,0.3408972824604163,0.4209182228343017,0.42491077284275813,0.2795600556972935,0.28683974659876554,0.4003194566737768
trn,1993-09-24,0.42201802153948564,0.4025350145215232,0.43846057651709547,0.1,0.1,0.1567818752790141,0.1,0.48154358200909897
trn,1996-06-27,0.19750569072653198,0.2093648350743072,0.19232694547239454,0.4209182228343017,0.1,0.34090509434967786,0.16227991553292184,0.23033704316113682
trn,1996-02-02,0.3913696971453091,0.32954999690948317,0.3177192005947772,0.1,0.1,0.1,0.18807710121010887,0.41440253019905515
trn,1996-01-06,0.5437557836216935,0.4110022502563787,0.5592086134644711,0.3712254014483243,0.2989664013495228,0.4359261043846592,0.39868398218204004,0.6271700761460389
trn,1996-08-29,0.4557656262967492,0.3807715240873665,0.4968051136413124,0.6074162634049249,0.3694017809659559,0.36020724156762385,0.1,0.49481062022858147
trn,1996-11-24,0.4016198781991337,0.45943541167458435,0.44757106731803487,0.1857690027870236,0.1,0.2966981858645833,0.16227991553292184,0.4499962354510674
trn,1994-07-16,0.18030218836772754,0.1970150969095324,0.1872600344616926,0.1,0.2406904916225318,0.19834909293229164,0.16227991553292184,0.22543456367192352
trn,1995-09-05,0.16066305109432574,0.12865866544600224,0.13603284390005266,0.1,0.1,0.23908662107193873,0.1,0.1661297280268384
trn,1995-05-13,0.3017967322089517,0.25632979048795124,0.23957227403072448,0.1,0.1,0.1,0.1,0.30368527545462143
trn,1994-05-21,0.32528505479398007,0.28649603371644744,0.31673309115797443,0.1,0.1,0.1,0.1,0.358835026031325
trn,1993-09-12,0.5087683785660428,0.3872060469943108,0.5614146733163383,0.3712254014483243,0.1,0.4110071394776096,0.3451962726495086,0.5028487874700167
trn,1994-01-15,0.7680475653353599,0.7502111083450915,0.7606070388877648,0.5775415971530588,0.1,0.521105657538679,0.4839191834148685,0.7726223684634416
trn,1996-08-12,0.26304928386941007,0.2472778049643696,0.37182797114075006,0.27153800557404717,0.4446199161365143,0.1567818752790141,0.1,0.32428993829699704
trn,1995-01-20,0.6328707388741953,0.5930990846465294,0.6056116198054068,0.5697761756117629,0.4809916523695208,0.3199152573220482,0.3491196621316873,0.7059053566424272
trn,1994-08-24,0.18142665267661448,0.19529849317487064,0.20283957047790793,0.40924453739402744,0.40392619831238397,0.5268093799946123,0.49142319963451486,0.28357088702107425
trn,1994-07-29,0.20553085709084304,0.23777324962277596,0.1903175652636791,0.1,0.1,0.1,0.1,0.24031344132452992
trn,1996-01-07,0.6102114323085207,0.4944124489319385,0.5940725657388484,0.3712254014483243,0.2989664013495228,0.23908662107193873,0.20787197799411877,0.6676543912918773
trn,1993-08-21,0.30380351000477623,0.29580016008809357,0.3042545665530687,0.1,0.1,0.2502307209641576,0.16227991553292184,0.34550790083284927
trn,1993-04-18,0.4190255869346219,0.3911864700423312,0.40358015710311035,0.1,0.1,0.27034562583704225,0.5491068577710319,0.4981641933739239
trn,1995-03-10,0.5194732603831899,0.5661155128211214,0.5591028735512795,0.22129568697262458,0.1,0.2966981858645833,0.2392621247645583,0.6306049339975719
trn,1994-04-03,0.5855116428207096,0.584434026035036,0.630409755921912,0.1857690027870236,0.1,0.36633060268101614,0.22455983106584368,0.614615762637619
trn,1996-03-20,0.4788590773671433,0.45458838474312335,0.47455259096716795,0.1,0.18122769321068954,0.1,0.1,0.5310318917017872
trn,1995-05-14,0.29771518348257675,0.25074446766651887,0.23876535459052795,0.1,0.1,0.1567818752790141,0.1,0.2989442670875918
trn,1994-08-03,0.20405298625764137,0.25865063582382875,0.21874929387055408,0.1,0.1,0.1,0.18807710121010887,0.242564268855628
trn,1993-03-11,0.3782505300939494,0.29478099819364784,0.35189786967242265,0.1,0.1,0.21356375055802818,0.2392621247645583,0.4084148308701986
trn,1996-10-04,0.2538947466380006,0.19984210679436176,0.42532747506341895,0.5201805851511122,0.31490827580693415,0.45912011139458686,0.6021167315686783,0.5171141428380001
trn,1995-10-01,0.20650944418551492,0.1698758282263656,0.252043644315488,0.22129568697262458,0.1,0.3839093763950705,0.28683974659876554,0.25123264682995056
trn,1993-02-15,0.4175106143138718,0.4158208295000825,0.39259112173558,0.1,0.1,0.1,0.1,0.4599258241318839
trn,1993-10-06,0.5569014238325618,0.6284716739108097,0.6015451975992449,0.7531972647421808,0.7598968991636293,0.4406912516740845,0.41756650460727884,0.7432919288390702
trn,1993-03-13,0.36754660753886526,0.29580016008809357,0.34069286665458687,0.22129568697262458,0.1,0.2795600556972935,0.3714718580202554,0.40789217569709646
trn,1994-10-03,0.3559562072786865,0.3212577272325676,0.5227725621953827,0.44307601114809436,0.5805495136315783,0.6431506185750305,0.46315119148749595,0.6149460715829997
trn,1996-06-14,0.2516270154619913,0.2589798847064666,0.3117718872516913,0.1,0.1,0.1,0.33303010600141414,0.28409354219417643
trn,1994-04-21,0.3948513077481971,0.3716721236446551,0.39817917718243767,0.47385841563689424,0.35686451962717425,0.40577975643564745,0.4411211461689767,0.47136663854792393
trn,1993-01-13,0.5965931216580144,0.6759110350117125,0.6324869333794231,0.35730700836107077,0.2816306436745999,0.1567818752790141,0.4411211461689767,0.7775766941850205
trn,1993-05-31,0.4097395426977971,0.3655268245312646,0.47394379493316174,0.7643638388299198,0.31490827580693415,0.5305698877204337,0.8576678731875901,0.7300414576940369
trn,1993-11-10,0.34357270266366324,0.34611335593028597,0.30683270300705473,0.1,0.34368307963206857,0.5133782917506435,0.5783811083733187,0.4420987084582876
trn,1996-08-24,0.18910821221585522,0.3401437161332326,0.18271114113126435,0.45363465789479385,0.4979328026990456,0.41358815584480557,0.1,0.29008124152303294
trn,1994-05-18,0.3582922160989931,0.32202669246440807,0.36656674233918385,0.1,0.1,0.1,0.1,0.39078883659098906
trn,1996-04-06,0.3618441464431841,0.2934821678828107,0.3262565851306991,0.1,0.1,0.1,0.1,0.3768239878388969
trn,1993-09-04,0.22548609829342867,0.25499076254407926,0.22658813551283613,0.3100902925755561,0.1,0.1,0.2525540142792948,0.2793338937730898
