type,,f,r,r,r,r,f
source,,f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,
trn,1996-10-19,0.402697971514442,0.47385841563689424,0.3928706128587993,0.541603725545327,0.4684529491774707,0.43277740645897245
trn,1996-01-19,0.4618138984769813,0.1,0.1,0.1,0.1,0.4703841905911774
trn,1996-09-01,0.31460045951829674,0.1,0.1,0.1,0.1,0.2984632000848875
trn,1995-02-26,0.685333672054135,0.1,0.1,0.1842105263157895,0.1,0.6789542185242875
trn,1993-08-08,0.5132292813171905,0.1857690027870236,0.21487330537883811,0.39171382022212675,0.3412090756622109,0.48526542375459736
trn,1995-10-24,0.26884510777642634,0.1,0.1,0.1,0.16227991553292184,0.26340914036965324
trn,1995-10-19,0.4593133984940796,0.1857690027870236,0.1,0.1,0.1,0.34501312063866324
trn,1993-05-03,0.39763738803960114,0.1,0.2989664013495228,0.29749118988730233,0.4684529491774707,0.4265973736778187
trn,1993-09-06,0.23335526887284933,0.1,0.1,0.1,0.1,0.2777909450986914
trn,1995-11-24,0.42906040113104316,0.3712254014483243,0.1,0.1,0.3491196621316873,0.5134228343036941
trn,1994-10-06,0.4460132935781749,0.1,0.1,0.1,0.1,0.43140534761335425
trn,1994-01-08,0.6316507337061638,0.1,0.2406904916225318,0.1,0.18807710121010887,0.6883646911256774
trn,1993-10-12,0.5310958351829586,0.22129568697262458,0.2406904916225318,0.23314853305972125,0.1,0.6243218355881538
trn,1995-08-06,0.1372580832850528,0.1,0.1,0.1,0.1,0.13953631931359134
trn,1993-06-02,0.6987353630239069,0.3269234515724702,0.2816306436745999,0.4206641307732172,0.37852424952911656,0.6025657753350312
trn,1996-11-30,0.6548428281242841,0.3712254014483243,0.2406904916225318,0.6554065666641229,0.41756650460727884,0.6365291223528706
trn,1994-05-19,0.3543414678767238,0.1,0.1,0.1,0.1,0.36908682805339954
trn,1993-04-30,0.4523131571185609,0.22129568697262458,0.1,0.1,0.1,0.48344278291494736
trn,1993-07-29,0.4812652912579686,0.1,0.1,0.1,0.3245534288855159,0.3986739615849635
trn,1994-10-07,0.39779218732147126,0.1,0.1,0.1,0.1,0.4003194566737768
trn,1994-02-13,0.5264380151735969,0.1,0.1,0.1,0.1,0.5538420842401706
trn,1993-04-16,0.46710376607499104,0.1,0.1,0.15954583420518295,0.3412090756622109,0.48952137920150063
trn,1995-04-21,0.34879065716010876,0.1,0.4766373190525506,0.2031364102224496,0.18807710121010887,0.39552400354367656
trn,1996-10-20,0.5105327744305835,0.22129568697262458,0.3297466107576762,0.2190916684103659,0.2392621247645583,0.42149529933518914
trn,1993-06-08,0.393804112831996,0.1,0.1,0.1,0.16227991553292184,0.4022203131432446
trn,1995-02-06,0.6547599255959692,0.1,0.1,0.2031364102224496,0.20787197799411877,0.7042415440928446
trn,1994-02-20,0.43553839898202573,0.1,0.1,0.1,0.1,0.47750632730510323
trn,1996-11-01,0.5154761341552663,0.3269234515724702,0.18122769321068954,0.5082256722034804,0.4889379478435182,0.5239569560860113
trn,1994-07-23,0.17715384886540897,0.1,0.1,0.1,0.16227991553292184,0.1835872644483115
trn,1994-06-01,0.29341014159540524,0.1,0.1,0.1,0.1,0.3282773570176823
trn,1993-04-02,0.3643702462275411,0.1857690027870236,0.3928706128587993,0.2031364102224496,0.2392621247645583,0.3696275511239342
trn,1993-03-12,0.35882832083126714,0.1,0.18122769321068954,0.2575434689167975,0.18807710121010887,0.40311845075684816
trn,1995-05-30,0.40451654092381994,0.4638870609178737,0.3297466107576762,0.4949823797746047,0.3245534288855159,0.39155491445249135
trn,1994-03-16,0.689157121299764,0.22129568697262458,0.1,0.28830046126314024,0.2647771681742199,0.62811804423326
trn,1993-04-11,0.6907484968405118,0.1857690027870236,0.18122769321068954,0.15954583420518295,0.1,0.6462110950268751
trn,1995-12-08,0.40449788294691547,0.24855627054164153,0.18122769321068954,0.15954583420518295,0.2392621247645583,0.4542230284795684
trn,1993-02-22,0.36323305787514515,0.1,0.1,0.1,0.1,0.40675450406787617
