# items: 1435
# std_range: (0.1, 0.9)
# dataset_split: (0.6, 0.2, 0.2)
# sd_culling: 5
# applied_funcs: {'f': ['log'], 'r': ['sqrt']}
# dropped_columns: f1, f2
#
type,,f,r,r,r,r,f
source,,f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,
trn,1996-02-06,0.32474422490013566,0.1,0.1,0.1,0.1,0.4180664176286004
trn,1996-08-13,0.2886607346397768,0.1857690027870236,0.1,0.19834909293229164,0.1,0.2710344004441819
trn,1993-11-18,0.40837466319785953,0.1,0.1,0.1,0.1,0.5083632508855024
trn,1996-08-04,0.20546000345288976,0.1,0.1,0.1,0.1,0.19918834761550058
trn,1994-01-14,0.7640465434689425,0.6356272507295889,0.2989664013495228,0.2966981858645833,0.4577708763999664,0.8053992405241119
trn,1994-06-29,0.3585343593030218,0.1,0.1,0.1,0.1,0.319642010894561
trn,1994-05-27,0.3242407968719462,0.1,0.1,0.1,0.1,0.36111406186215234
trn,1994-05-16,0.35550022514041946,0.6074162634049249,0.6448919310237998,0.34090509434967786,0.4684529491774707,0.4470051320465621
trn,1995-10-14,0.24868878430116426,0.1,0.1,0.1,0.1,0.2551797295559951
trn,1996-10-27,0.6332907375175111,0.5851827478904983,0.38138098324506364,0.5094599256709729,0.5269695894358641,0.6519177408376479
trn,1993-08-16,0.465857514470295,0.6074162634049249,0.62953977294819,0.5398305146440964,0.45230840484043544,0.49275708985619937
trn,1993-09-11,0.6289330714043838,0.5113336872891043,0.31490827580693415,0.5055036983435257,0.8563869460277671,0.6052853622434946
trn,1995-07-10,0.2389378637122854,0.1,0.1,0.1,0.1,0.22182779259669916
trn,1996-10-05,0.5868956789737749,0.40924453739402744,0.2989664013495228,0.42120679246623727,0.38540242720507034,0.5109354407899638
trn,1995-08-19,0.1130208655494746,0.1,0.1,0.1,0.1,0.12195418619333426
trn,1995-08-27,0.1125181084400839,0.22129568697262458,0.18122769321068954,0.31245832307259974,0.22455983106584368,0.13738125813471774
trn,1994-03-03,0.6286291461472149,0.1,0.2816306436745999,0.4766483503864932,0.3567866700967828,0.7652816001594939
trn,1994-07-08,0.21348998815418596,0.1,0.1,0.1,0.1,0.2661794230230458
trn,1994-11-07,0.5994393682404282,0.1,0.1,0.1,0.1,0.607362887865132
trn,1993-10-09,0.6478897811565651,0.22129568697262458,0.1,0.1567818752790141,0.16227991553292184,0.6733237813044372
trn,1995-08-01,0.1731148954285726,0.1,0.1,0.1,0.16227991553292184,0.17109748576419917
trn,1993-05-16,0.7356436862005744,0.27153800557404717,0.1,0.5982589334226898,0.5491068577710319,0.7887700086402227
trn,1993-10-07,0.6911974829466089,0.44307601114809436,0.49376585224185265,0.3271275011160564,0.3412090756622109,0.8019425610298982
trn,1994-06-05,0.32701681879543176,0.34259137394524913,0.3297466107576762,0.2966981858645833,0.16227991553292184,0.39021212321098275
trn,1995-11-17,0.6986620872048503,0.7475417707203037,0.9,0.1,0.2761542024202177,0.6188630470544527
trn,1996-01-21,0.4158268423899878,0.27153800557404717,0.1,0.23908662107193873,0.22455983106584368,0.45782497778019926
trn,1996-08-14,0.23370460946535238,0.1,0.1,0.1,0.1,0.23744831282732462
trn,1993-06-21,0.42629689977336216,0.1,0.1,0.1,0.1,0.39922413903063314
trn,1994-10-15,0.28368542135440034,0.1,0.1,0.1,0.1,0.30845611778295023
trn,1993-05-25,0.4691973062707756,0.1,0.1,0.1,0.1,0.5019732420090209
trn,1996-06-23,0.20346904458579218,0.1,0.1,0.1,0.1,0.23926671181086814
trn,1995-01-25,0.7055602528853904,0.22129568697262458,0.1,0.3199152573220482,0.2525540142792948,0.7119306487330721
trn,1996-06-01,0.48523970386304893,0.1857690027870236,0.18122769321068954,0.22696813301379035,0.1,0.4230251835498615
trn,1996-09-11,0.18462544268139533,0.1,0.1,0.1,0.1,0.2163032734715324
trn,1993-10-04,0.5919316528823131,0.1,0.1,0.1,0.1,0.6225909245613016
