type,f,f,f,r,r,r,r,f
src,f1,f2,f3,r1,r2,r3,r4,p
date,,,,,,,,
1993-01-01,10.4,4.393,9.291,0.0,0,0.0,4.0,26.1
1993-01-02,9.95,4.239,8.622,0.0,0,0.8,0.0,24.86
1993-01-03,9.46,4.124,8.057,0.0,0,0.8,0.0,23.6
1993-01-04,9.41,4.363,7.925,2.4,24.8,0.8,61.6,23.47
1993-01-05,26.3,11.962,58.704,11.2,5.6,33.6,111.2,60.7
1993-01-06,32.1,10.237,34.416,0.0,0,1.6,0.8,98.01
1993-01-07,19.3,7.254,22.263,5.6,4,17.6,36.0,56.99
1993-01-08,22.0,7.266,29.587,1.6,0,1.6,2.4,56.66
1993-01-09,35.5,8.153,60.253,14.4,0.8,55.2,104.8,78.1
1993-01-10,51.0,13.276,93.951,20.8,2.4,76.0,136.8,125.7
1993-01-11,65.5,25.561,69.503,10.4,16,12.0,28.0,195.9
1993-01-12,32.0,20.715,40.514,7.2,4,0.8,24.0,125.4
1993-01-13,64.3,36.54,106.753,39.2,8.8,82.8,118.0,161.5
1993-01-14,69.1,28.457,60.325,5.6,1.6,8.0,12.8,204
1993-01-15,94.6,33.761,142.159,36.0,12,72.0,72.0,200.6
1993-01-16,99.0,38.484,77.439,8.8,2.4,7.2,40.0,234.4
1993-01-17,58.2,21.022,57.103,6.4,0.8,0.0,21.6,160.1
1993-01-18,34.1,15.191,42.697,16.8,2.4,44.0,103.2,104.1
1993-01-19,59.8,16.456,79.028,7.2,0,34.4,86.4,136.4
1993-01-20,48.0,18.587,70.19,6.4,0,19.2,26.4,137.1
1993-01-21,42.6,18.687,88.489,27.2,4,51.2,80.4,124.3
1993-01-22,66.6,26.501,74.365,4.8,2.4,6.4,18.4,175.9
1993-01-23,41.4,23.124,101.231,40.8,18.4,62.4,120.4,128.1
1993-01-24,124.0,57.874,138.304,28.0,16.8,7.2,29.6,270.3
1993-01-25,70.0,34.921,62.332,2.4,0,0.0,2.4,206.5
1993-01-26,35.4,18.518,43.343,0.8,0,0.0,9.6,116.4
1993-01-27,33.2,16.112,39.664,3.2,7.2,0.8,12.0,92.52
1993-01-28,36.3,18.059,61.693,0.8,6.4,7.2,84.8,104.3
1993-01-29,33.9,18.287,43.674,0.8,0,4.8,4.0,106
1993-01-30,25.8,15.197,31.682,0.0,0,0.0,2.4,80.07
1993-01-31,22.1,11.821,26.37,0.0,7.2,7.2,4.0,64.14
1993-02-01,20.2,10.624,21.884,0.0,0,0.8,4.8,56.13
1993-02-02,18.4,9.607,19.046,0.0,0,0.8,0.0,50.29
1993-02-03,16.9,6.394,17.181,0.0,0,0.0,0.0,43.38
1993-02-04,15.8,7.112,15.511,0.0,0,0.8,0.0,40.47
1993-02-05,14.9,6.213,14.625,4.8,9.6,0.0,2.4,37.36
1993-02-06,15.5,6.641,14.918,0.8,7.2,4.8,1.6,37.74
1993-02-07,15.8,6.336,14.1,0.0,0,1.6,0.0,38.31
1993-02-08,14.9,6.009,12.959,1.6,0,0.0,0.0,36.22
1993-02-09,14.6,6.448,13.352,0.8,0,0.0,0.0,35.92
1993-02-10,14.7,6.605,13.52,0.0,0,0.0,0.8,36.61
1993-02-11,14.4,6.349,13.019,0.0,0,0.0,0.0,35.6
1993-02-12,13.4,5.806,11.879,0.0,0,0.0,0.0,33.17
1993-02-13,-999.0,5.476,11.051,0.0,0,0.0,0.0,30.73
1993-02-14,11.9,5.275,10.437,0.0,0,0.0,0.0,29.24
